label,text
1,Congratulations you have won a free mobile phone click now
1,Win cash prizes instantly claim your reward today
1,Limited time offer buy now and get huge discount
1,Your account has been compromised verify immediately
1,You are selected for a cash prize of 5000 dollars
1,Claim your free voucher by clicking this link
1,Get rich quick with this simple trick
1,Exclusive deal just for you do not miss out
1,Act fast your loan has been approved
1,Free entry in weekly contest win now
1,This is not a scam you are a lucky winner
1,Earn money from home no experience required
1,Cheap medicines available order now
1,Your payment is pending click to resolve
1,Special promotion just for today only
1,You have received a bonus claim immediately
1,Win big rewards by clicking this exclusive link
1,Get approved instantly apply now
1,Final warning verify your account
1,You have won a gift card claim now
1,Free subscription available click here
1,Your ATM card is blocked update details
1,Make money online easily
1,Lowest prices guaranteed shop now
1,You are pre approved for a credit card
1,Click here to receive your prize
1,Fast cash loans no documents required
1,Claim your reward before expiry
1,Limited slots available register now
1,Special discount offer waiting for you
1,Instant approval no credit check
1,Winner announcement check now
1,Free recharge available claim now
1,You have been shortlisted claim prize
1,Important notice act immediately
1,Get bonus points click here
1,Free trial offer expires today
1,You are eligible for refund claim now
1,Unlock premium features instantly
1,Final chance to win big rewards

0,Hi Tania can we meet tomorrow
0,Please find attached the report
0,Let me know if you have any questions
0,Thank you for your email
0,Can we schedule a meeting for next week
0,Please review the document and share feedback
0,I will call you later today
0,The meeting has been postponed
0,See you at the office tomorrow
0,Please confirm your attendance
0,Happy birthday wish you all the best
0,The task has been completed
0,Kindly check the attached invoice
0,Looking forward to your response
0,Let us discuss this in the meeting
0,Thank you for the quick response
0,Please send the updated file
0,Can you share the project details
0,We will discuss this tomorrow
0,The report is ready for review
0,I have shared the document with you
0,Let me know your availability
0,Please approve the request
0,I will update you shortly
0,Thanks for your support
0,The call has been rescheduled
0,Please check your email
0,Waiting for your confirmation
0,The deadline is next Monday
0,Let us finalize this today
0,Meeting agenda is attached
0,I have received your message
0,Please review the changes
0,We can proceed as discussed
0,Let me know if any changes are needed
0,Thank you for your time
0,The issue has been resolved
0,I will get back to you soon
0,Please share your feedback
0,See you soon
